Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
40967076,11/18/2018 12:00:02 AM,,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,,91 OCEAN PARKWAY,OCEAN PARKWAY,,,,,,,,N/A,Open,,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,11/18/2018 12:00:00 AM,Unspecified BROOKLYN,,BROOKLYN,,,ONLINE,Unspecified,BROOKLYN,,,,,,,,,,
40967887,11/18/2018 12:00:25 AM,,DPR,Department of Parks and Recreation,Maintenance or Facility,Snow or Ice,Park,11205,,,,,,,,BROOKLYN,,N/A,Open,11/25/2018 12:00:25 AM,The Department of Parks and Recreation usually requires 7 days to respond to this type of complaint. Please note your Service Request number for future reference.,,02 BROOKLYN,,BROOKLYN,,,ONLINE,Albert J Parham Playground,BROOKLYN,,,,,,,,,,
40970957,11/18/2018 12:00:31 AM,,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11105,,,,,45 STREET,23 AVENUE,INTERSECTION,ASTORIA,,Precinct,Assigned,11/18/2018 08:00:31 AM,Your complaint has been received by the Police Department and additional information will be available later.,11/18/2018 02:15:12 AM,01 QUEENS,,QUEENS,1010473,219472,PHONE,Unspecified,QUEENS,,,,,,,,40.76903742723883,-73.90532995493767,"(40.76903742723883, -73.90532995493767)"
40970261,11/18/2018 12:00:59 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10455,610 TRINITY AVENUE,TRINITY AVENUE,EAST 149 STREET,PONTIAC PLACE,,,ADDRESS,BRONX,,Precinct,Assigned,11/18/2018 08:00:59 AM,Your complaint has been received by the Police Department and additional information will be available later.,11/18/2018 01:42:22 AM,01 BRONX,2026230151,BRONX,1009272,236056,PHONE,Unspecified,BRONX,,,,,,,,40.814559493267296,-73.90960400717243,"(40.814559493267296, -73.90960400717243)"
40966426,11/18/2018 12:01:00 AM,,DOT,Department of Transportation,Street Light Condition,Lamppost Knocked Down,,,2798 26 ST E,26 ST E,BELT PKWY,EMMONS AVE,,,,,,N/A,Open,,,,Unspecified BROOKLYN,,BROOKLYN,,,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,,,
40968374,11/18/2018 12:01:05 AM,,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,,11102,24-50 29 STREET,29 STREET,DOROTHY PLACE,HOYT AVENUE,,,ADDRESS,ASTORIA,,N/A,Open,12/02/2018 12:01:05 AM,The Taxi and Limousine Commission will contact you within 14 days to confirm your complaint details. Please note your Service Request number for future reference.,,01 QUEENS,4008410054,QUEENS,1007086,220565,ONLINE,Unspecified,QUEENS,,,Other,,,,,40.77204682429151,-73.917553951038,"(40.77204682429151, -73.917553951038)"
40971252,11/18/2018 12:01:14 AM,11/18/2018 12:13:00 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10472,1207 BEACH AVENUE,BEACH AVENUE,GLEASON AVENUE,WESTCHESTER AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,11/18/2018 08:01:14 AM,The Police Department responded to the complaint and determined that police action was not necessary.,11/18/2018 12:13:00 AM,09 BRONX,2037630001,BRONX,1021327,241829,MOBILE,Unspecified,BRONX,,,,,,,,40.83036235589997,-73.86602154214397,"(40.83036235589997, -73.86602154214397)"
40971942,11/18/2018 12:01:21 AM,11/18/2018 01:19:51 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10026,90 SAINT NICHOLAS AVENUE,SAINT NICHOLAS AVENUE,WEST 114 STREET,WEST 115 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,11/18/2018 08:01:21 AM,The Police Department responded to the complaint and took action to fix the condition.,11/18/2018 01:19:51 AM,10 MANHATTAN,,MANHATTAN,997384,231441,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.80191827000952,-73.9525603330666,"(40.80191827000952, -73.9525603330666)"
40969114,11/18/2018 12:01:38 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10003,204 EAST 13 STREET,EAST 13 STREET,3 AVENUE,2 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Assigned,11/18/2018 08:01:38 AM,Your complaint has been received by the Police Department and additional information will be available later.,11/18/2018 12:08:53 AM,03 MANHATTAN,1004680011,MANHATTAN,987773,206120,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.73242775257853,-73.98728828641892,"(40.73242775257853, -73.98728828641892)"
40966840,11/18/2018 12:01:50 AM,11/18/2018 02:03:56 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10033,1370 SAINT NICHOLAS AVENUE,SAINT NICHOLAS AVENUE,CROSS BRONX EXPRESSWAY,WEST 179 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,11/18/2018 08:01:50 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/18/2018 02:03:56 AM,12 MANHATTAN,1021530001,MANHATTAN,1002274,248150,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.84777109169902,-73.93485290083406,"(40.84777109169902, -73.93485290083406)"
